panel,omega_r,omega_i,lambda_re,lambda_im
0,-0.00041580002818,0.00218212998035,7.43635,1.41698
0,0.00041580002818,0.00218212998035,7.43635,-1.41698
0,-0.0,0.0021407401273000003,7.2953,0.0
0,-6.059263209000001e-05,0.0020365069496900002,6.94009,0.20649
0,6.059263209000001e-05,0.0020365069496900002,6.94009,-0.20649
0,-0.0,0.0019927460933600004,6.79096,0.0
0,-0.00111136670576,0.0019134583351600003,6.52076,3.78736
0,0.00111136670576,0.0019134583351600003,6.52076,-3.78736
0,-0.0,0.0016718654254500001,5.69745,0.0
0,-0.00041294191284000004,0.00167016053324,5.69164,1.40724
0,0.00041294191284000004,0.00167016053324,5.69164,-1.40724
0,-0.0006820302442500001,0.00160888711803,5.48283,2.32425
0,0.0006820302442500001,0.00160888711803,5.48283,-2.32425
0,-0.0007005258304800001,0.0015954827331500002,5.43715,2.38728
0,0.0007005258304800001,0.0015954827331500002,5.43715,-2.38728
0,-0.00034078183653,0.0015821546429300001,5.39173,1.16133
0,0.00034078183653,0.0015821546429300001,5.39173,-1.16133
0,-0.0,0.0014343572144600001,4.88806,0.0
0,-0.0010581922621500002,0.0014288229172000001,4.8692,3.60615
0,0.0010581922621500002,0.0014288229172000001,4.8692,-3.60615
0,-0.00086771384023,0.00124669876055,4.24855,2.95703
0,0.00086771384023,0.00124669876055,4.24855,-2.95703
0,-0.00053300036358,0.0011962738591100002,4.07671,1.81638
0,0.00053300036358,0.0011962738591100002,4.07671,-1.81638
0,-0.0,0.0011645411493700001,3.96857,0.0
0,-0.0,0.0011490445301600002,3.91576,0.0
0,-0.00075848923121,0.00110560352452,3.76772,2.58481
0,0.00075848923121,0.00110560352452,3.76772,-2.58481
0,-0.00037294297013,0.00104076773557,3.54677,1.27093
0,0.00037294297013,0.00104076773557,3.54677,-1.27093
0,-0.0,0.00097418597267,3.31987,0.0
0,-0.00073203259065,0.00095528543786,3.25546,2.49465
0,0.00073203259065,0.00095528543786,3.25546,-2.49465
0,-0.00027316716131,0.00094146436676,3.20836,0.93091
0,0.00027316716131,0.00094146436676,3.20836,-0.93091
0,-9.684139882e-05,0.0009243919693800001,3.15018,0.33002
0,9.684139882e-05,0.0009243919693800001,3.15018,-0.33002
0,-0.0005462873720600001,0.0007486853674000001,2.5514,1.86166
0,0.0005462873720600001,0.0007486853674000001,2.5514,-1.86166
